name,listeners,playcount,url,tags
Glass Animals,2194878,108005518,https://www.last.fm/music/Glass+Animals,"['electronic', 'seen live', 'trip-hop', 'indie', 'british']"
Masked Wolf,579762,6204304,https://www.last.fm/music/Masked+Wolf,"['Hip-Hop', 'rap', 'hip hop', 'australian', 'australia']"
Ariana Grande feat. Doja Cat,804,8406,https://www.last.fm/music/Ariana+Grande+feat.+Doja+Cat,[]
Walker Hayes,172038,1755243,https://www.last.fm/music/Walker+Hayes,"['country', 'pop', 'who', 'not country', 'country rap']"
Giveon,1030221,44294131,https://www.last.fm/music/Giveon,"['rnb', 'Neo-Soul', 'soul', 'contemporary rnb', 'USA']"
lil tjay,823384,52452113,https://www.last.fm/music/lil+tjay,"['rap', 'Hip-Hop', 'trap', 'Melodic Rap', 'drill']"
Tate McRae,1663033,131085586,https://www.last.fm/music/Tate+McRae,"['pop', 'Canadian', 'seen live', 'electronic', 'electropop']"
Pooh Shiesty,390323,11343809,https://www.last.fm/music/Pooh+Shiesty,"['rap', 'trap', 'Hip-Hop', 'memphis', 'hip hop']"
SPOTEMGOTTEM,191175,2266055,https://www.last.fm/music/SPOTEMGOTTEM,"['rap', 'Hip-Hop', 'trap', 'american', 'United States']"
Kali Uchis,2480883,231915931,https://www.last.fm/music/Kali+Uchis,"['rnb', 'Neo-Soul', 'soul', 'seen live', 'pop']"
CJ,344208,3079848,https://www.last.fm/music/CJ,"['rap', 'Hip-Hop', 'hip hop', 'new york', 'rnb']"
Internet Money,946481,22694722,https://www.last.fm/music/Internet+Money,"['rap', 'Hip-Hop', 'trap', 'hip hop', 'emo rap']"
Chris Stapleton,659604,20444663,https://www.last.fm/music/Chris+Stapleton,"['country', 'americana', 'singer-songwriter', 'folk', 'bluegrass']"
AJR,1034836,44284956,https://www.last.fm/music/AJR,"['seen live', 'indie pop', 'pop', 'indie', 'new york']"
Yung Bleu,288747,3607379,https://www.last.fm/music/Yung+Bleu,"['rap', 'Hip-Hop', 'rnb', 'Alabama', 'soul']"
Wizkid,485565,10582480,https://www.last.fm/music/Wizkid,"['nigeria', 'Hip-Hop', 'afrobeat', 'wizkid', 'afropop']"
Ryan Hurd,112910,1151687,https://www.last.fm/music/Ryan+Hurd,['country']
Maneskin,5156,83218,https://www.last.fm/music/Maneskin,"['italian', 'indie', 'pop rock', 'glam rock', 'Italy']"
Nelly,2987892,32286313,https://www.last.fm/music/Nelly,"['Hip-Hop', 'rap', 'rnb', 'hip hop', 'Nelly']"
Mooski,63686,434397,https://www.last.fm/music/Mooski,"['rap', 'Alabama', 'Hip-Hop', 'hip hop', 'USA']"
COI LERAY,679254,7438824,https://www.last.fm/music/COI+LERAY,"['rap', 'Hip-Hop', 'trap', 'new jersey', 'hip hop']"
Duncan Laurence,581105,8499901,https://www.last.fm/music/Duncan+Laurence,"['pop', 'Eurovision', 'soul', 'dutch', 'seen live']"
Niko Moon,54266,542356,https://www.last.fm/music/Niko+Moon,['country']
Parmalee,112748,1242086,https://www.last.fm/music/Parmalee,"['alternative rock', 'Discoverockult', 'rock', 'post-grunge', 'hard rock']"
Eric Church,693968,12536046,https://www.last.fm/music/Eric+Church,"['country', 'modern country', 'eric church', 'male country', 'Traditional Country']"
Brenda Lee,1918662,13958085,https://www.last.fm/music/Brenda+Lee,"['oldies', '60s', 'female vocalists', 'country', 'rockabilly']"
ritt momney,514541,6106711,https://www.last.fm/music/ritt+momney,"['indie pop', 'indie', 'indie rock', 'bedroom pop', 'alternative']"
Cole Swindell,208676,3812933,https://www.last.fm/music/Cole+Swindell,"['country', 'racist', 'youngstar', 'KKK Country', 'racist country']"
Lainey Wilson,160951,2842346,https://www.last.fm/music/Lainey+Wilson,"['country', 'country rock', 'rock', 'female vocalists', 'USA']"
BRS Kash,97072,577164,https://www.last.fm/music/BRS+Kash,"['hip hop', 'rap', 'United States', 'pizzer', 'pizzer0081-discord']"
Rauw Alejandro,758214,56497569,https://www.last.fm/music/Rauw+Alejandro,"['Reggaeton', 'sexy', 'dance', 'latin', 'male vocalists']"
Latto,722846,11500592,https://www.last.fm/music/Latto,"['rap', 'Hip-Hop', 'female vocalist', 'atlanta', 'seen live']"
Elton John,4557844,130676003,https://www.last.fm/music/Elton+John,"['pop', 'classic rock', 'singer-songwriter', 'rock', 'piano']"
Gayle,693903,7818844,https://www.last.fm/music/Gayle,"['pop', 'female vocalists', 'USA', 'pop rock', 'seen live']"
Kate Bush,2824362,111692937,https://www.last.fm/music/Kate+Bush,"['female vocalists', 'singer-songwriter', 'pop', 'alternative', '80s']"
carolina gaitan,370,3040,https://www.last.fm/music/carolina+gaitan,"['musical', 'Broadway']"
Steve Lacy,2537475,221369218,https://www.last.fm/music/Steve+Lacy,"['jazz', 'free jazz', 'saxophone', 'Avant-Garde Jazz', 'soprano sax']"
Nicky Youre,550700,5466154,https://www.last.fm/music/Nicky+Youre,"['pop', 'indie pop', 'indie', 'alternative', 'singer-songwriter']"
Em Beihold,335211,4944020,https://www.last.fm/music/Em+Beihold,"['indie pop', 'pop', 'USA', 'american', 'seen live']"
Cody Johnson,197353,6090672,https://www.last.fm/music/Cody+Johnson,"['country', 'contemporary country', 'USA', 'american', 'bluegrass']"
Zach Bryan,935450,91447916,https://www.last.fm/music/Zach+Bryan,"['country', 'singer-songwriter', 'americana', 'Alt-country', 'country rock']"
Gunna,1470024,128790655,https://www.last.fm/music/Gunna,"['rap', 'trap', 'Hip-Hop', 'atlanta', 'hip hop']"
Jordan Davis,225439,5466955,https://www.last.fm/music/Jordan+Davis,"['country', 'rock', 'Hip-Hop', 'war word', 'seen live']"
Dove Cameron,1011060,21155842,https://www.last.fm/music/Dove+Cameron,"['pop', 'Disney', 'better than selena gomez', 'female vocalists', 'american']"
Joji,2401977,273087594,https://www.last.fm/music/Joji,"['Lo-Fi', 'rnb', 'Hip-Hop', 'alternative rnb', 'japanese']"
Jessica Darrow,267927,2593184,https://www.last.fm/music/Jessica+Darrow,"['USA', 'Disney', 'encanto cast', 'Soundtrack', 'Soundtracks']"
Bailey Zimmerman,195577,5683495,https://www.last.fm/music/Bailey+Zimmerman,"['country', 'contemporary country', 'singer-songwriter', 'USA', 'american']"
Ckay,600967,7615973,https://www.last.fm/music/Ckay,"['rnb', 'afrobeat', 'nigerian', 'nigeria', 'african']"
Muni Long,446252,6270166,https://www.last.fm/music/Muni+Long,"['rnb', 'soul', 'pop', 'rap', 'Hip-Hop']"
Karol G,1147264,51879112,https://www.last.fm/music/Karol+G,"['Reggaeton', 'pop', 'latin', 'latin pop', 'Colombia']"
Tyler Hubbard,86090,1151461,https://www.last.fm/music/Tyler+Hubbard,"['country', 'singer-songwriter', 'american', 'georgia', 'contemporary country']"
NEIKED,648314,6545775,https://www.last.fm/music/NEIKED,"['pop', 'rnb', 'swedish', 'indie', 'Sweden']"
Lauren Spencer Smith,300000,4739717,https://www.last.fm/music/Lauren+Spencer+Smith,"['pop', 'Canadian', 'british', 'UK', 'American Idol']"
